1.21368e-05	-7.37018e-06	-2.47377e-07
0.000193825	-9.85036e-05	2.47347e-05
0.00037717	-0.000304425	0.000144271
0.000412578	-0.000645186	0.000415946
0.000370083	-0.0011477	0.000939208
0.000167165	-0.00162548	0.001737
-6.57971e-05	-0.00189568	0.00310981
-0.000413129	-0.00148334	0.00537535
-0.00116643	0.000661441	0.00898387
-0.00278527	0.00640275	0.0140165
-0.00561006	0.0180597	0.0188306
-0.00469573	0.0290421	0.0241337
0.000741036	0.0413026	0.0284333
0.00139816	0.0492596	0.0334202
-0.0143381	0.0171447	0.0445441
-0.0330824	-0.0271462	0.0565383
-0.0522762	-0.0335929	0.0536575
-0.0325925	-0.0186943	0.0396123
-0.0364617	-0.0556373	0.0479786
-0.0151627	-0.107892	0.0513881
0.0534096	-0.140272	0.068864
0.101928	-0.219462	0.109556
-0.00500472	-0.298774	0.22832
0.0946219	-0.188145	0.147071
0.384019	-0.285453	-0.00596463
0.572918	-0.660861	-0.0677615
0.131446	-0.269609	0.158021
-0.293643	-0.0184206	0.729814
-0.150823	-0.0742953	0.542249
-0.230666	-0.406862	0.515306
-0.337764	-0.93002	0.114345
-0.0698168	-2.20385	-0.767681
1.77365	-1.0445	0.763681
1.67901	-2.26461	0.997855
3.58294	-3.94735	-1.43378
4.88869	-3.27618	-2.99852
2.51221	-11.6376	-4.11356
3.40519	-12.2455	-7.29899
999.248	5387.87	1810.46
999.248	5387.87	1810.46
999.248	5387.87	1810.46
999.248	5387.87	1810.46
999.248	5387.87	1810.46
999.248	5387.87	1810.46
999.248	5387.87	1810.46
-nan(ind)	-nan(ind)	-nan(ind)
-nan(ind)	-nan(ind)	-nan(ind)
-nan(ind)	-nan(ind)	-nan(ind)
-nan(ind)	-nan(ind)	-nan(ind)
-nan(ind)	-nan(ind)	-nan(ind)
-nan(ind)	-nan(ind)	-nan(ind)
-nan(ind)	-nan(ind)	-nan(ind)
-nan(ind)	-nan(ind)	-nan(ind)
-nan(ind)	-nan(ind)	-nan(ind)
